county,constituency,code,registered_voters,raila,ruto,mwaure,wajackoyah,iebc_total,auto_sum,rejected_ballots,counted
Baringo,Baringo  North,158,50287,923,37635,16,56,38630,38630,175,1
Baringo,Baringo Central,159,45949,1656,33162,26,62,34906,34906,166,1
Baringo,Baringo South,160,42791,7351,25533,41,90,33015,33015,201,1
Baringo,Eldama Ravine,162,64099,5122,42118,72,114,47426,47426,308,1
Baringo,Mogotio,161,38922,982,30824,34,49,31889,31889,117,1
Baringo,Tiaty,157,39059,25286,5721,29,105,31141,31141,56,1
Bomet,Bomet Central,197,71409,2024,55486,55,105,57565,57670,329,1
Bomet,Bomet East,196,63661,1769,47987,38,107,49901,49901,258,1
Bomet,Chepalungu,195,80140,5009,58827,54,142,64032,64032,507,1
Bomet,Konoin,198,75115,2164,56262,36,98,58560,58560,175,1
Bomet,Sotik,194,86698,2417,66866,51,109,69443,69443,276,1
Bungoma,Bumula,219,82047,22177,28968,213,358,51716,51716,734,1
Bungoma,Kabuchai,218,67221,10798,32216,192,271,43477,43477,425,1
Bungoma,Kanduyi,220,NA,NA,NA,NA,NA,NA,0,NA,0
Bungoma,Kimilili,223,61587,14119,22954,130,234,37437,37437,366,1
Bungoma,Mt. Elgon,216,76159,5650,48656,148,149,54601,54603,550,1
Bungoma,Sirisia,217,NA,NA,NA,NA,NA,NA,0,NA,0
Bungoma,Tongaren,224,NA,NA,NA,NA,NA,NA,0,NA,0
Bungoma,Webuye East,221,48950,13720,16412,110,249,30491,30491,380,1
Bungoma,Webuye West,222,58632,10876,25095,179,222,36372,36372,603,1
Busia,Budalangi,231,46032,20180,11361,46,157,31744,31744,297,1
Busia,Butula,229,67377,40161,3663,65,278,44167,44167,244,1
Busia,Funyula,230,54031,29826,7163,83,239,37311,37311,301,1
Busia,Matayos,228,67770,34916,8700,60,207,43883,43883,314,1
Busia,Nambale,227,50545,28363,5086,55,182,33686,33686,316,1
Busia,Teso North,225,59795,32176,6760,85,181,39202,39202,911,1
Busia,Teso South,226,71268,40695,6094,80,162,47031,47031,406,1
Diaspora,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
Elgeyo/marakwet,Keiyo North,149,49267,1266,37337,30,32,38665,38665,152,1
Elgeyo/marakwet,Keiyo South,150,62397,1611,46436,30,55,48132,48132,455,1
Elgeyo/marakwet,Marakwet East,147,43672,735,31880,29,42,32686,32686,686,1
Elgeyo/marakwet,Marakwet West,148,58568,1290,44439,31,47,45807,45807,202,1
Embu,Manyatta,63,NA,NA,NA,NA,NA,NA,0,NA,0
Embu,Mbeere North,66,NA,NA,NA,NA,NA,NA,0,NA,0
Embu,Mbeere South,65,77264,13978,36317,141,357,50793,50793,459,1
Embu,Runyenjes,64,NA,NA,NA,NA,NA,NA,0,NA,0
Garissa,Balambala,28,26085,5714,7854,12,73,13653,13653,76,1
Garissa,Dadaab,30,NA,NA,NA,NA,NA,NA,0,NA,0
Garissa,Fafi,31,NA,NA,NA,NA,NA,NA,0,NA,0
Garissa,Garissa Township,27,NA,NA,NA,NA,NA,NA,0,NA,0
Garissa,Ijara,32,29666,18214,1367,7,56,19644,19644,65,1
Garissa,Lagdera,29,NA,NA,NA,NA,NA,NA,0,NA,0
Homa Bay,Homa Bay Town,249,58375,43075,638,12,134,43859,43859,177,1
Homa Bay,Kabondo Kasipul,246,59910,42088,260,16,66,42430,42430,157,1
Homa Bay,Karachuonyo,247,94181,68340,648,7,88,68746,69083,275,1
Homa Bay,Kasipul,245,67397,48164,407,27,122,48720,48720,166,1
Homa Bay,Ndhiwa,250,NA,NA,NA,NA,NA,NA,NA,NA,0
Homa Bay,Rangwe,248,NA,NA,NA,NA,NA,NA,0,NA,0
